Transaction_ID,Product_ID,Product_Name,Category,Units_Sold,Standard_Retail_Price,Promo_Discount_Rate,Selling_Price_Per_Unit,Gross_Revenue,Net_Revenue,Total_COGS,Shipping_Mode,Shipping_Cost,Return_Status,Marketing_Spend_Allocated,Discount_value,Return_Deficit,True_Net_profit
T10015,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.05,950.00,1000.00,950.00,600.00,Express Air,1.75,No,88.49,50,0,259.76
T10016,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,21,60.00,0.40,36.00,1260.00,756.00,315.00,Standard,15.75,No,481.32,504,0,-56.07
T10017,P002,Aura Soundbar 360,Premium Electronics,1,300.00,0.00,300.00,300.00,300.00,150.00,Standard,4.00,No,27.21,0,0,118.79
T10018,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.05,950.00,1000.00,950.00,600.00,Standard,0.25,No,60.26,50,0,289.49
T10019,P005,EcoBreeze Air Purifier,Smart Home Appliances,1,200.00,0.05,190.00,200.00,190.00,90.00,Standard,6.00,No,29.44,10,0,64.56
T10020,P005,EcoBreeze Air Purifier,Smart Home Appliances,1,200.00,0.00,200.00,200.00,200.00,90.00,Standard,6.00,No,10.74,0,0,93.26
T10021,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,24,60.00,0.15,51.00,1440.00,1224.00,360.00,Express Air,126.00,No,236.16,216,0,501.84
T10022,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,17,60.00,0.30,42.00,1020.00,714.00,255.00,Standard,12.75,No,267.24,306,0,179.01
T10023,P001,Quantum X Smartphone,Premium Electronics,3,1000.00,0.05,950.00,3000.00,2850.00,1800.00,Standard,0.75,No,226.35,150,0,822.90
T10024,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,23,60.00,0.40,36.00,1380.00,828.00,345.00,Express Air,120.75,No,178.25,552,0,184.00
T10025,P002,Aura Soundbar 360,Premium Electronics,1,300.00,0.10,270.00,300.00,270.00,150.00,Express Air,28.00,No,23.20,30,0,68.80
T10026,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,19,60.00,0.00,60.00,1140.00,1140.00,285.00,Express Air,99.75,No,335.54,0,0,419.71
T10027,P002,Aura Soundbar 360,Premium Electronics,1,300.00,0.05,285.00,300.00,285.00,150.00,Express Air,28.00,No,25.60,15,0,81.40
T10028,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,15,60.00,0.00,60.00,900.00,900.00,225.00,Standard,11.25,No,282.60,0,0,381.15
T10029,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,28,60.00,0.30,42.00,1680.00,1176.00,420.00,Standard,21.00,No,615.44,504,0,119.56
T10030,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,14,60.00,0.50,30.00,840.00,420.00,210.00,Standard,10.50,No,246.68,420,0,-47.18
T10031,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,22,60.00,0.15,51.00,1320.00,1122.00,330.00,Standard,16.50,No,120.78,198,0,654.72
T10032,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,17,60.00,0.40,36.00,1020.00,612.00,255.00,Standard,12.75,No,274.38,408,0,69.87
T10033,P005,EcoBreeze Air Purifier,Smart Home Appliances,2,200.00,0.05,190.00,400.00,380.00,180.00,Standard,12.00,No,59.60,20,0,128.40
T10034,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.25,750.00,1000.00,750.00,600.00,Standard,0.25,No,82.15,250,0,67.60
T10035,P002,Aura Soundbar 360,Premium Electronics,1,300.00,0.10,270.00,300.00,270.00,150.00,Standard,4.00,No,28.26,30,0,87.74
T10036,P003,HydroClean Dishwasher,Smart Home Appliances,1,800.00,0.10,720.00,800.00,720.00,400.00,Express Air,297.50,No,51.83,80,0,-29.33
T10037,P005,EcoBreeze Air Purifier,Smart Home Appliances,1,200.00,0.00,200.00,200.00,200.00,90.00,Standard,6.00,No,10.72,0,0,93.28
T10038,P003,HydroClean Dishwasher,Smart Home Appliances,1,800.00,0.00,800.00,800.00,800.00,400.00,Express Air,297.50,Yes,21.49,0,815,-733.99
T10039,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,18,60.00,0.40,36.00,1080.00,648.00,270.00,Standard,13.50,Yes,120.78,432,663,-419.28
T10040,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.10,900.00,1000.00,900.00,600.00,Standard,0.25,No,98.55,100,0,201.20
T10041,P003,HydroClean Dishwasher,Smart Home Appliances,1,800.00,0.10,720.00,800.00,720.00,400.00,Standard,42.50,No,23.14,80,0,254.36
T10042,P001,Quantum X Smartphone,Premium Electronics,4,1000.00,0.25,750.00,4000.00,3000.00,2400.00,Standard,1.00,No,201.60,1000,0,397.40
T10043,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.10,900.00,1000.00,900.00,600.00,Standard,0.25,No,56.80,100,0,242.95
T10044,P005,EcoBreeze Air Purifier,Smart Home Appliances,2,200.00,0.05,190.00,400.00,380.00,180.00,Standard,12.00,No,29.90,20,0,158.10
T10045,P002,Aura Soundbar 360,Premium Electronics,2,300.00,0.00,300.00,600.00,600.00,300.00,Standard,8.00,Yes,21.62,0,615,-344.62
T10046,P005,EcoBreeze Air Purifier,Smart Home Appliances,2,200.00,0.00,200.00,400.00,400.00,180.00,Standard,12.00,No,38.94,0,0,169.06
T10047,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.05,950.00,1000.00,950.00,600.00,Standard,0.25,No,42.72,50,0,307.03
T10048,P002,Aura Soundbar 360,Premium Electronics,2,300.00,0.05,285.00,600.00,570.00,300.00,Express Air,56.00,No,26.52,30,0,187.48
T10049,P001,Quantum X Smartphone,Premium Electronics,2,1000.00,0.00,1000.00,2000.00,2000.00,1200.00,Express Air,3.50,No,149.06,0,0,647.44
T10050,P002,Aura Soundbar 360,Premium Electronics,2,300.00,0.00,300.00,600.00,600.00,300.00,Standard,8.00,No,35.44,0,0,256.56
T10051,P005,EcoBreeze Air Purifier,Smart Home Appliances,4,200.00,0.00,200.00,800.00,800.00,360.00,Standard,24.00,No,41.44,0,0,374.56
T10052,P001,Quantum X Smartphone,Premium Electronics,2,1000.00,0.00,1000.00,2000.00,2000.00,1200.00,Express Air,3.50,No,82.80,0,0,713.70
T10053,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,15,60.00,0.40,36.00,900.00,540.00,225.00,Express Air,78.75,No,198.75,360,0,37.50
T10054,P002,Aura Soundbar 360,Premium Electronics,2,300.00,0.00,300.00,600.00,600.00,300.00,Express Air,56.00,No,37.16,0,0,206.84
T10055,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,13,60.00,0.30,42.00,780.00,546.00,195.00,Standard,9.75,No,297.83,234,0,43.42
T10056,P002,Aura Soundbar 360,Premium Electronics,1,300.00,0.10,270.00,300.00,270.00,150.00,Standard,4.00,No,29.00,30,0,87.00
T10057,P005,EcoBreeze Air Purifier,Smart Home Appliances,1,200.00,0.05,190.00,200.00,190.00,90.00,Standard,6.00,No,16.57,10,0,77.43
T10058,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,16,60.00,0.00,60.00,960.00,960.00,240.00,Standard,12.00,No,364.00,0,0,344.00
T10059,P002,Aura Soundbar 360,Premium Electronics,1,300.00,0.00,300.00,300.00,300.00,150.00,Standard,4.00,No,12.02,0,0,133.98
T10060,P001,Quantum X Smartphone,Premium Electronics,2,1000.00,0.00,1000.00,2000.00,2000.00,1200.00,Standard,0.50,No,89.76,0,0,709.74
T10061,P001,Quantum X Smartphone,Premium Electronics,5,1000.00,0.05,950.00,5000.00,4750.00,3000.00,Express Air,8.75,No,484.15,250,0,1257.10
T10062,P005,EcoBreeze Air Purifier,Smart Home Appliances,2,200.00,0.00,200.00,400.00,400.00,180.00,Standard,12.00,No,42.34,0,0,165.66
T10063,P003,HydroClean Dishwasher,Smart Home Appliances,4,800.00,0.00,800.00,3200.00,3200.00,1600.00,Standard,170.00,Yes,155.00,0,3215,-1940.00
T10064,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.00,1000.00,1000.00,1000.00,600.00,Standard,0.25,No,75.00,0,0,324.75
T10065,P005,EcoBreeze Air Purifier,Smart Home Appliances,1,200.00,0.00,200.00,200.00,200.00,90.00,Express Air,42.00,No,29.26,0,0,38.74
T10066,P001,Quantum X Smartphone,Premium Electronics,4,1000.00,0.00,1000.00,4000.00,4000.00,2400.00,Standard,1.00,No,398.32,0,0,1200.68
T10067,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.35,650.00,1000.00,650.00,600.00,Standard,0.25,No,81.74,350,0,-31.99
T10068,P003,HydroClean Dishwasher,Smart Home Appliances,2,800.00,0.05,760.00,1600.00,1520.00,800.00,Express Air,595.00,Yes,62.48,80,1535,-1472.48
T10069,P005,EcoBreeze Air Purifier,Smart Home Appliances,3,200.00,0.00,200.00,600.00,600.00,270.00,Standard,18.00,No,41.28,0,0,270.72
T10070,P003,HydroClean Dishwasher,Smart Home Appliances,1,800.00,0.05,760.00,800.00,760.00,400.00,Standard,42.50,No,59.45,40,0,258.05
T10071,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,21,60.00,0.40,36.00,1260.00,756.00,315.00,Express Air,110.25,Yes,450.45,504,771,-890.70
T10072,P005,EcoBreeze Air Purifier,Smart Home Appliances,2,200.00,0.05,190.00,400.00,380.00,180.00,Standard,12.00,No,54.64,20,0,133.36
T10073,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.05,950.00,1000.00,950.00,600.00,Express Air,1.75,No,49.03,50,0,299.22
T10074,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,27,60.00,0.30,42.00,1620.00,1134.00,405.00,Standard,20.25,Yes,601.83,486,1149,-1042.08
T10075,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,26,60.00,0.30,42.00,1560.00,1092.00,390.00,Express Air,136.50,Yes,445.12,468,1107,-986.62
T10076,P001,Quantum X Smartphone,Premium Electronics,2,1000.00,0.10,900.00,2000.00,1800.00,1200.00,Standard,0.50,No,160.58,200,0,438.92
T10077,P003,HydroClean Dishwasher,Smart Home Appliances,2,800.00,0.05,760.00,1600.00,1520.00,800.00,Express Air,595.00,No,84.88,80,0,40.12
T10078,P005,EcoBreeze Air Purifier,Smart Home Appliances,1,200.00,0.00,200.00,200.00,200.00,90.00,Standard,6.00,No,22.41,0,0,81.59
T10079,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,17,60.00,0.30,42.00,1020.00,714.00,255.00,Express Air,89.25,No,203.49,306,0,166.26
T10080,P003,HydroClean Dishwasher,Smart Home Appliances,2,800.00,0.00,800.00,1600.00,1600.00,800.00,Express Air,595.00,No,115.96,0,0,89.04
T10081,P001,Quantum X Smartphone,Premium Electronics,4,1000.00,0.05,950.00,4000.00,3800.00,2400.00,Standard,1.00,No,395.20,200,0,1003.80
T10082,P003,HydroClean Dishwasher,Smart Home Appliances,1,800.00,0.05,760.00,800.00,760.00,400.00,Standard,42.50,No,25.16,40,0,292.34
T10083,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.00,1000.00,1000.00,1000.00,600.00,Standard,0.25,No,60.74,0,0,339.01
T10084,P005,EcoBreeze Air Purifier,Smart Home Appliances,1,200.00,0.05,190.00,200.00,190.00,90.00,Standard,6.00,No,10.82,10,0,83.18
T10085,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.00,1000.00,1000.00,1000.00,600.00,Standard,0.25,No,67.65,0,0,332.10
T10086,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.10,900.00,1000.00,900.00,600.00,Standard,0.25,No,87.96,100,0,211.79
T10087,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,11,60.00,0.40,36.00,660.00,396.00,165.00,Standard,8.25,No,101.09,264,0,121.66
T10088,P002,Aura Soundbar 360,Premium Electronics,1,300.00,0.05,285.00,300.00,285.00,150.00,Standard,4.00,No,24.95,15,0,106.05
T10089,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.25,750.00,1000.00,750.00,600.00,Standard,0.25,No,71.93,250,0,77.82
T10090,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.10,900.00,1000.00,900.00,600.00,Standard,0.25,No,62.64,100,0,237.11
T10091,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.05,950.00,1000.00,950.00,600.00,Standard,0.25,No,93.43,50,0,256.32
T10092,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,17,60.00,0.30,42.00,1020.00,714.00,255.00,Standard,12.75,No,128.35,306,0,317.90
T10093,P002,Aura Soundbar 360,Premium Electronics,1,300.00,0.05,285.00,300.00,285.00,150.00,Standard,4.00,No,29.73,15,0,101.27
T10094,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,16,60.00,0.15,51.00,960.00,816.00,240.00,Standard,12.00,No,171.20,144,0,392.80
T10095,P001,Quantum X Smartphone,Premium Electronics,3,1000.00,0.00,1000.00,3000.00,3000.00,1800.00,Standard,0.75,No,296.82,0,0,902.43
T10096,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.35,650.00,1000.00,650.00,600.00,Express Air,1.75,No,55.47,350,0,-7.22
T10097,P001,Quantum X Smartphone,Premium Electronics,2,1000.00,0.35,650.00,2000.00,1300.00,1200.00,Standard,0.50,No,113.60,700,0,-14.10
T10098,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,18,60.00,0.15,51.00,1080.00,918.00,270.00,Standard,13.50,No,299.16,162,0,335.34
T10099,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.10,900.00,1000.00,900.00,600.00,Standard,0.25,No,48.06,100,0,251.69
T10100,P001,Quantum X Smartphone,Premium Electronics,5,1000.00,0.05,950.00,5000.00,4750.00,3000.00,Standard,1.25,No,404.45,250,0,1344.30
T10101,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,16,60.00,0.30,42.00,960.00,672.00,240.00,Standard,12.00,No,388.80,288,0,31.20
T10102,P001,Quantum X Smartphone,Premium Electronics,2,1000.00,0.35,650.00,2000.00,1300.00,1200.00,Standard,0.50,No,168.94,700,0,-69.44
T10103,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,16,60.00,0.15,51.00,960.00,816.00,240.00,Standard,12.00,No,247.36,144,0,316.64
T10104,P002,Aura Soundbar 360,Premium Electronics,3,300.00,0.00,300.00,900.00,900.00,450.00,Standard,12.00,No,52.62,0,0,385.38
T10105,P003,HydroClean Dishwasher,Smart Home Appliances,1,800.00,0.10,720.00,800.00,720.00,400.00,Standard,42.50,No,55.98,80,0,221.52
T10106,P002,Aura Soundbar 360,Premium Electronics,1,300.00,0.10,270.00,300.00,270.00,150.00,Standard,4.00,No,28.80,30,0,87.20
T10107,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,23,60.00,0.40,36.00,1380.00,828.00,345.00,Standard,17.25,No,258.29,552,0,207.46
T10108,P001,Quantum X Smartphone,Premium Electronics,2,1000.00,0.00,1000.00,2000.00,2000.00,1200.00,Standard,0.50,No,185.22,0,0,614.28
T10109,P002,Aura Soundbar 360,Premium Electronics,3,300.00,0.00,300.00,900.00,900.00,450.00,Standard,12.00,No,53.85,0,0,384.15
T10110,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,22,60.00,0.40,36.00,1320.00,792.00,330.00,Standard,16.50,No,262.02,528,0,183.48
T10111,P001,Quantum X Smartphone,Premium Electronics,4,1000.00,0.10,900.00,4000.00,3600.00,2400.00,Standard,1.00,No,387.36,400,0,811.64
T10112,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.10,900.00,1000.00,900.00,600.00,Standard,0.25,No,92.33,100,0,207.42
T10113,P005,EcoBreeze Air Purifier,Smart Home Appliances,1,200.00,0.05,190.00,200.00,190.00,90.00,Express Air,42.00,No,13.05,10,0,44.95
T10114,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,17,60.00,0.50,30.00,1020.00,510.00,255.00,Standard,12.75,No,123.42,510,0,118.83
T10115,P005,EcoBreeze Air Purifier,Smart Home Appliances,3,200.00,0.00,200.00,600.00,600.00,270.00,Express Air,126.00,No,61.14,0,0,142.86
T10116,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,22,60.00,0.30,42.00,1320.00,924.00,330.00,Standard,16.50,No,514.80,396,0,62.70
T10117,P002,Aura Soundbar 360,Premium Electronics,1,300.00,0.05,285.00,300.00,285.00,150.00,Standard,4.00,No,19.05,15,0,111.95
T10118,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.05,950.00,1000.00,950.00,600.00,Express Air,1.75,No,61.74,50,0,286.51
T10119,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,15,60.00,0.00,60.00,900.00,900.00,225.00,Standard,11.25,No,253.65,0,0,410.10
T10120,P001,Quantum X Smartphone,Premium Electronics,2,1000.00,0.05,950.00,2000.00,1900.00,1200.00,Standard,0.50,No,102.88,100,0,596.62
T10121,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.10,900.00,1000.00,900.00,600.00,Standard,0.25,No,67.20,100,0,232.55
T10122,P003,HydroClean Dishwasher,Smart Home Appliances,1,800.00,0.05,760.00,800.00,760.00,400.00,Express Air,297.50,No,27.28,40,0,35.22
T10123,P005,EcoBreeze Air Purifier,Smart Home Appliances,4,200.00,0.00,200.00,800.00,800.00,360.00,Standard,24.00,No,72.68,0,0,343.32
T10124,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.25,750.00,1000.00,750.00,600.00,Standard,0.25,No,53.32,250,0,96.43
T10125,P001,Quantum X Smartphone,Premium Electronics,2,1000.00,0.00,1000.00,2000.00,2000.00,1200.00,Standard,0.50,No,101.42,0,0,698.08
T10126,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,24,60.00,0.40,36.00,1440.00,864.00,360.00,Standard,18.00,Yes,550.32,576,879,-943.32
T10127,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.05,950.00,1000.00,950.00,600.00,Standard,0.25,Yes,74.98,50,965,-690.23
T10128,P003,HydroClean Dishwasher,Smart Home Appliances,3,800.00,0.10,720.00,2400.00,2160.00,1200.00,Standard,127.50,No,105.57,240,0,726.93
T10129,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,21,60.00,0.30,42.00,1260.00,882.00,315.00,Standard,15.75,No,503.37,378,0,47.88
T10130,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,24,60.00,0.15,51.00,1440.00,1224.00,360.00,Standard,18.00,No,243.84,216,0,602.16
T10131,P001,Quantum X Smartphone,Premium Electronics,3,1000.00,0.35,650.00,3000.00,1950.00,1800.00,Standard,0.75,No,169.02,1050,0,-19.77
T10132,P001,Quantum X Smartphone,Premium Electronics,4,1000.00,0.00,1000.00,4000.00,4000.00,2400.00,Standard,1.00,No,293.00,0,0,1306.00
T10133,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,16,60.00,0.15,51.00,960.00,816.00,240.00,Standard,12.00,No,271.20,144,0,292.80
T10134,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,16,60.00,0.30,42.00,960.00,672.00,240.00,Standard,12.00,Yes,316.16,288,687,-583.16
T10135,P001,Quantum X Smartphone,Premium Electronics,2,1000.00,0.05,950.00,2000.00,1900.00,1200.00,Standard,0.50,No,122.68,100,0,576.82
T10136,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,24,60.00,0.40,36.00,1440.00,864.00,360.00,Standard,18.00,No,223.20,576,0,262.80
T10137,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.10,900.00,1000.00,900.00,600.00,Standard,0.25,No,75.81,100,0,223.94
T10138,P002,Aura Soundbar 360,Premium Electronics,2,300.00,0.00,300.00,600.00,600.00,300.00,Standard,8.00,No,39.82,0,0,252.18
T10139,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,18,60.00,0.15,51.00,1080.00,918.00,270.00,Standard,13.50,No,122.94,162,0,511.56
T10140,P005,EcoBreeze Air Purifier,Smart Home Appliances,1,200.00,0.15,170.00,200.00,170.00,90.00,Standard,6.00,No,20.84,30,0,53.16
T10141,P005,EcoBreeze Air Purifier,Smart Home Appliances,2,200.00,0.10,180.00,400.00,360.00,180.00,Standard,12.00,No,53.96,40,0,114.04
T10142,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.05,950.00,1000.00,950.00,600.00,Express Air,1.75,No,42.37,50,0,305.88
T10143,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,14,60.00,0.50,30.00,840.00,420.00,210.00,Standard,10.50,Yes,153.30,420,435,-388.80
T10144,P005,EcoBreeze Air Purifier,Smart Home Appliances,5,200.00,0.10,180.00,1000.00,900.00,450.00,Standard,30.00,No,134.45,100,0,285.55
T10145,P002,Aura Soundbar 360,Premium Electronics,3,300.00,0.00,300.00,900.00,900.00,450.00,Standard,12.00,No,37.23,0,0,400.77
T10146,P001,Quantum X Smartphone,Premium Electronics,2,1000.00,0.05,950.00,2000.00,1900.00,1200.00,Standard,0.50,No,117.84,100,0,581.66
T10147,P003,HydroClean Dishwasher,Smart Home Appliances,2,800.00,0.00,800.00,1600.00,1600.00,800.00,Express Air,595.00,No,89.26,0,0,115.74
T10148,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.25,750.00,1000.00,750.00,600.00,Express Air,1.75,Yes,71.74,250,765,-688.49
T10149,P005,EcoBreeze Air Purifier,Smart Home Appliances,2,200.00,0.15,170.00,400.00,340.00,180.00,Standard,12.00,No,36.08,60,0,111.92
T10150,P003,HydroClean Dishwasher,Smart Home Appliances,2,800.00,0.10,720.00,1600.00,1440.00,800.00,Express Air,595.00,No,73.42,160,0,-28.42
T10151,P003,HydroClean Dishwasher,Smart Home Appliances,2,800.00,0.00,800.00,1600.00,1600.00,800.00,Standard,85.00,No,62.98,0,0,652.02
T10152,P002,Aura Soundbar 360,Premium Electronics,1,300.00,0.00,300.00,300.00,300.00,150.00,Standard,4.00,No,18.56,0,0,127.44
T10153,P002,Aura Soundbar 360,Premium Electronics,2,300.00,0.00,300.00,600.00,600.00,300.00,Express Air,56.00,No,23.58,0,0,220.42
T10154,P003,HydroClean Dishwasher,Smart Home Appliances,3,800.00,0.15,680.00,2400.00,2040.00,1200.00,Standard,127.50,No,80.04,360,0,632.46
T10155,P005,EcoBreeze Air Purifier,Smart Home Appliances,1,200.00,0.10,180.00,200.00,180.00,90.00,Standard,6.00,No,20.25,20,0,63.75
T10156,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.05,950.00,1000.00,950.00,600.00,Standard,0.25,No,61.01,50,0,288.74
T10157,P001,Quantum X Smartphone,Premium Electronics,4,1000.00,0.25,750.00,4000.00,3000.00,2400.00,Express Air,7.00,No,201.72,1000,0,391.28
T10158,P002,Aura Soundbar 360,Premium Electronics,2,300.00,0.05,285.00,600.00,570.00,300.00,Standard,8.00,No,28.98,30,0,233.02
T10159,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.10,900.00,1000.00,900.00,600.00,Standard,0.25,No,92.65,100,0,207.10
T10160,P002,Aura Soundbar 360,Premium Electronics,1,300.00,0.10,270.00,300.00,270.00,150.00,Express Air,28.00,No,26.19,30,0,65.81
T10161,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,16,60.00,0.40,36.00,960.00,576.00,240.00,Standard,12.00,No,150.40,384,0,173.60
T10162,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,27,60.00,0.30,42.00,1620.00,1134.00,405.00,Standard,20.25,No,322.92,486,0,385.83
T10163,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,18,60.00,0.40,36.00,1080.00,648.00,270.00,Standard,13.50,No,391.32,432,0,-26.82
T10164,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,24,60.00,0.15,51.00,1440.00,1224.00,360.00,Standard,18.00,No,133.92,216,0,712.08
T10165,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,24,60.00,0.00,60.00,1440.00,1440.00,360.00,Standard,18.00,No,590.88,0,0,471.12
T10166,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,19,60.00,0.40,36.00,1140.00,684.00,285.00,Standard,14.25,Yes,300.77,456,699,-615.02
T10167,P005,EcoBreeze Air Purifier,Smart Home Appliances,1,200.00,0.05,190.00,200.00,190.00,90.00,Express Air,42.00,No,28.74,10,0,29.26
T10168,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,12,60.00,0.30,42.00,720.00,504.00,180.00,Standard,9.00,No,269.16,216,0,45.84
T10169,P005,EcoBreeze Air Purifier,Smart Home Appliances,4,200.00,0.05,190.00,800.00,760.00,360.00,Standard,24.00,No,41.96,40,0,334.04
T10170,P001,Quantum X Smartphone,Premium Electronics,1,1000.00,0.05,950.00,1000.00,950.00,600.00,Standard,0.25,No,66.75,50,0,283.00
T10171,P002,Aura Soundbar 360,Premium Electronics,5,300.00,0.00,300.00,1500.00,1500.00,750.00,Standard,20.00,No,129.50,0,0,600.50
T10172,P004,ComfortFit Denim Jacket,Fast-Fashion Apparel,12,60.00,0.40,36.00,720.00,432.00,180.00,Express Air,63.00,Yes,96.24,288,447,-354.24
